id,exp_date,sub_age,sub_sex,aq_score,aq_category,block,trial,action_category,action,angle,recog_acc,recog_rt,conf_choice,conf_rt,recog_corr_box,recog_resp_box,days_elapsed
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,17,34,complex actions,To Clean,247,0,7.3096584,1,2.04571982,2,4,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,18,35,complex actions,To Clean,180,0,8.08005093,0,,3,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,18,36,simple actions,To Hammer,135,0,5.38339508,1,1.43427075,4,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,19,37,simple actions,To Kick,0,0,3.7047814,0,,4,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,19,38,complex actions,To Dance,180,1,3.12460442,1,1.48202185,1,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,20,39,complex actions,To Dance,0,1,6.87502425,1,1.71016119,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,20,40,simple actions,To Point,247,0,5.41123992,0,,1,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,21,41,simple actions,To Point,180,0,9.33657185,0,,4,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,21,42,complex actions,To Hurry up,247,1,7.89411616,1,1.07658143,4,4,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,22,43,complex actions,To Hurry up,135,1,4.58535702,0,,4,4,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,22,44,simple actions,To Wave,180,1,3.81251218,1,1.19098019,3,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,23,45,complex actions,To Get Attention,0,1,9.60523073,0,,1,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,23,46,simple actions,To Wave,135,0,6.15273127,1,1.83000352,2,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,24,47,simple actions,To Push,135,0,5.85981892,0,,4,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,24,48,complex actions,To Clean,135,0,6.82607691,1,2.13304983,4,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,25,49,simple actions,To Kick,247,0,5.11799804,0,,4,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,25,50,complex actions,To Dance,135,1,9.9134232,1,1.40116756,1,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,26,51,complex actions,To Hurry up,0,0,10.26343748,0,,2,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,26,52,simple actions,To Push,247,0,8.92119239,1,1.464329,3,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,27,53,complex actions,To Get Attention,135,0,10.04357855,1,1.5293937,1,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,27,54,simple actions,To Grab,0,0,9.78911179,0,,3,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,28,55,complex actions,To Play an Instrument,135,1,6.98595,1,1.11850267,3,3,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,28,56,simple actions,To Punch,180,1,3.98932006,0,,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,29,57,simple actions,To Grab,247,0,8.12130651,1,1.31075346,1,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,29,58,complex actions,To Get Attention,247,1,7.10302149,0,,2,2,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,30,59,simple actions,To Point,0,0,10.43283693,0,,1,4,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,30,60,complex actions,To Fight,247,1,6.21129693,1,2.20495056,1,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,31,61,complex actions,To Play a Sport,0,0,6.53979163,0,,2,1,148
229c63439403e4eab08215d11ad77fd8,03-Aug-2016,21.12024356,f,25,high symptoms,31,62,simple actions,To Wave,247,0,7.54499675,1,1.84480057,3,1,148
